01/01/2000: PI8-2391237
27/10/1994: PI8-1303895
28/10/1994: PI8-1401951
29/10/1994: PI8-1018401
30/10/1994: PI8-406068
31/10/1994: PI8-552325
01/11/1994: PI8-187537
02/11/1994: PI8-187789
03/11/1994: PI8-240772
04/11/1994: PI8-166597
05/11/1994: PI8-1145801
06/11/1994: PI8-239595
07/11/1994: PI8-13654
08/11/1994: PI8-71850
09/11/1994: PI8-269979
10/11/1994: PI8-3315310
11/11/1994: PI8-1796569
12/11/1994: PI8-64294
13/11/1994: PI8-178533
14/11/1994: PI8-547714
15/11/1994: PI8-193611
16/11/1994: PI8-1208824
17/11/1994: PI8-251157
18/11/1994: PI8-960732
19/11/1994: PI8-34655
20/11/1994: PI8-949150
21/11/1994: PI8-559039
22/11/1994: PI8-186138
23/11/1994: PI8-226502
24/11/1994: PI8-739992
25/11/1994: PI8-577367
26/11/1994: PI8-286970
27/11/1994: PI8-268368
28/11/1994: PI8-152741
29/11/1994: PI8-560179
30/11/1994: PI8-493
31/11/1994: PI8-109027
01/12/1994: PI8-917234
02/12/1994: PI8-1119340
03/12/1994: PI8-3462231
04/12/1994: PI8-349608
05/12/1994: PI8-1640136
06/12/1994: PI8-19823
07/12/1994: PI8-289771
08/12/1994: PI8-54860
09/12/1994: PI8-907830
10/12/1994: PI8-110788
11/12/1994: PI8-1293699
12/12/1994: PI8-54098
13/12/1994: PI8-254049
14/12/1994: PI8-622213
15/12/1994: PI8-194156
16/12/1994: PI8-1727625
17/12/1994: PI8-1605416
18/12/1994: PI8-764052
19/12/1994: PI8-390527
20/12/1994: PI8-15644
21/12/1994: PI8-99643
22/12/1994: PI8-580124
23/12/1994: PI8-718526
24/12/1994: PI8-408668
25/12/1994: PI8-476648
26/12/1994: PI8-1023009
27/12/1994: PI8-739699
28/12/1994: PI8-104780
29/12/1994: PI8-1502335
30/12/1994: PI8-967396
31/12/1994: PI8-443119
01/01/1995: PI8-108622
02/01/1995: PI8-1423077
03/01/1995: PI8-1045
04/01/1995: PI8-1456580
05/01/1995: PI8-701632
06/01/1995: PI8-434583
07/01/1995: PI8-718009
08/01/1995: PI8-1832947
09/01/1995: PI8-372361
10/01/1995: PI8-2532510
11/01/1995: PI8-1210613
12/01/1995: PI8-459152
13/01/1995: PI8-80304
14/01/1995: PI8-1272081
15/01/1995: PI8-1827587
16/01/1995: PI8-493064
17/01/1995: PI8-418033
18/01/1995: PI8-1374609
19/01/1995: PI8-1149539
20/01/1995: PI8-64343
21/01/1995: PI8-2035357
22/01/1995: PI8-354145
23/01/1995: PI8-415190
24/01/1995: PI8-842621
25/01/1995: PI8-69985
26/01/1995: PI8-248015
27/01/1995: PI8-337255
28/01/1995: PI8-1021644
29/01/1995: PI8-210689
30/01/1995: PI8-732795
31/01/1995: PI8-907970
01/02/1995: PI8-82518
02/02/1995: PI8-567574
03/02/1995: PI8-345235
04/02/1995: PI8-32261
05/02/1995: PI8-2344308
06/02/1995: PI8-1368035
07/02/1995: PI8-1737950
08/02/1995: PI8-27381
09/02/1995: PI8-3114902
10/02/1995: PI8-89694
11/02/1995: PI8-903144
12/02/1995: PI8-3225779
13/02/1995: PI8-286841
14/02/1995: PI8-551169
15/02/1995: PI8-3097889
16/02/1995: PI8-39200
17/02/1995: PI8-1554341
18/02/1995: PI8-63143
19/02/1995: PI8-196233
20/02/1995: PI8-558025
21/02/1995: PI8-926773
22/02/1995: PI8-1347091
23/02/1995: PI8-1089800
24/02/1995: PI8-398087
25/02/1995: PI8-1126736
26/02/1995: PI8-2239679
27/02/1995: PI8-955821
28/02/1995: PI8-301732
29/02/1995: PI8-126176
30/02/1995: PI8-1741925
31/02/1995: PI8-36442
01/03/1995: PI8-762277
02/03/1995: PI8-505327
03/03/1995: PI8-144984
04/03/1995: PI8-16544
05/03/1995: PI8-330823
06/03/1995: PI8-275629
07/03/1995: PI8-3502635
08/03/1995: PI8-1408955
09/03/1995: PI8-163633
10/03/1995: PI8-607109
11/03/1995: PI8-590080
12/03/1995: PI8-60873
13/03/1995: PI8-448986
14/03/1995: PI8-230023
15/03/1995: PI8-3200479
16/03/1995: PI8-1414410
17/03/1995: PI8-507970
18/03/1995: PI8-2446736
19/03/1995: PI8-3184030
20/03/1995: PI8-1114412
21/03/1995: PI8-3140822
22/03/1995: PI8-547210
23/03/1995: PI8-391837
24/03/1995: PI8-1271604
25/03/1995: PI8-737171
26/03/1995: PI8-5890
27/03/1995: PI8-1006976
28/03/1995: PI8-313294
29/03/1995: PI8-380888
30/03/1995: PI8-47344
31/03/1995: PI8-197922
01/04/1995: PI8-3043793
02/04/1995: PI8-365915
03/04/1995: PI8-1355197
04/04/1995: PI8-2198010
05/04/1995: PI8-88173
06/04/1995: PI8-4475244
07/04/1995: PI8-1779236
08/04/1995: PI8-406595
09/04/1995: PI8-1152213
10/04/1995: PI8-605736
11/04/1995: PI8-1486253
12/04/1995: PI8-628076
13/04/1995: PI8-1569976
14/04/1995: PI8-850428
15/04/1995: PI8-4914
16/04/1995: PI8-351474
17/04/1995: PI8-861224
18/04/1995: PI8-349007
19/04/1995: PI8-2132620
20/04/1995: PI8-71021
21/04/1995: PI8-831383
22/04/1995: PI8-1846730
23/04/1995: PI8-2416007
24/04/1995: PI8-456459
25/04/1995: PI8-1309538
26/04/1995: PI8-673079
27/04/1995: PI8-5395457
28/04/1995: PI8-181494
29/04/1995: PI8-552278
30/04/1995: PI8-2503420
31/04/1995: PI8-2618047
01/05/1995: PI8-659704
02/05/1995: PI8-2324473
03/05/1995: PI8-1489632
04/05/1995: PI8-170981
05/05/1995: PI8-921036
06/05/1995: PI8-2659228
07/05/1995: PI8-1106794
08/05/1995: PI8-681407
09/05/1995: PI8-961668
10/05/1995: PI8-971972
11/05/1995: PI8-559984
12/05/1995: PI8-2718632
13/05/1995: PI8-618249
14/05/1995: PI8-151167
15/05/1995: PI8-322253
16/05/1995: PI8-131105
17/05/1995: PI8-657482
18/05/1995: PI8-10960
19/05/1995: PI8-298864
20/05/1995: PI8-1480878
21/05/1995: PI8-924868
22/05/1995: PI8-1039984
23/05/1995: PI8-1895683
24/05/1995: PI8-259823
25/05/1995: PI8-443735
26/05/1995: PI8-33100
27/05/1995: PI8-1702019
28/05/1995: PI8-126978
29/05/1995: PI8-417924
30/05/1995: PI8-511976
31/05/1995: PI8-479619
01/06/1995: PI8-1735219
02/06/1995: PI8-72794
03/06/1995: PI8-2558187
04/06/1995: PI8-1465816
05/06/1995: PI8-755799
06/06/1995: PI8-512500
07/06/1995: PI8-1090734
08/06/1995: PI8-1397980
09/06/1995: PI8-282372
10/06/1995: PI8-539478
11/06/1995: PI8-778045
12/06/1995: PI8-3122736
13/06/1995: PI8-2370239
14/06/1995: PI8-476680
15/06/1995: PI8-1115
16/06/1995: PI8-506498
17/06/1995: PI8-1449445
18/06/1995: PI8-994821
19/06/1995: PI8-1364402
20/06/1995: PI8-1113155
21/06/1995: PI8-1003069
22/06/1995: PI8-523250
23/06/1995: PI8-727350
24/06/1995: PI8-691075
25/06/1995: PI8-109294
26/06/1995: PI8-190051
27/06/1995: PI8-3383
28/06/1995: PI8-501328
29/06/1995: PI8-2488877
30/06/1995: PI8-65913
31/06/1995: PI8-945689
01/07/1995: PI8-860193
02/07/1995: PI8-1112463
03/07/1995: PI8-894809
04/07/1995: PI8-2053577
05/07/1995: PI8-3172954
06/07/1995: PI8-6304947
07/07/1995: PI8-3793359
08/07/1995: PI8-935054
09/07/1995: PI8-1383745
10/07/1995: PI8-53531
11/07/1995: PI8-644315
12/07/1995: PI8-477217
13/07/1995: PI8-988304
14/07/1995: PI8-428560
15/07/1995: PI8-68867
16/07/1995: PI8-3129044
17/07/1995: PI8-880927
18/07/1995: PI8-1608564
19/07/1995: PI8-1263183
20/07/1995: PI8-649718
21/07/1995: PI8-2080312
22/07/1995: PI8-363487
23/07/1995: PI8-4915700
24/07/1995: PI8-259574
25/07/1995: PI8-295399
26/07/1995: PI8-484448
27/07/1995: PI8-956138
28/07/1995: PI8-1195548
29/07/1995: PI8-156057
30/07/1995: PI8-335639
31/07/1995: PI8-1493988
01/08/1995: PI8-233419
02/08/1995: PI8-1198613
03/08/1995: PI8-56570
04/08/1995: PI8-457244
05/08/1995: PI8-1211281
06/08/1995: PI8-257409
07/08/1995: PI8-859231
08/08/1995: PI8-389560
09/08/1995: PI8-349682
10/08/1995: PI8-543461
11/08/1995: PI8-273098
12/08/1995: PI8-515274
13/08/1995: PI8-1989476
14/08/1995: PI8-108330
15/08/1995: PI8-300890
16/08/1995: PI8-666543
17/08/1995: PI8-121455
18/08/1995: PI8-44075
19/08/1995: PI8-216278
20/08/1995: PI8-1571751
21/08/1995: PI8-3900854
22/08/1995: PI8-1077156
23/08/1995: PI8-71753
24/08/1995: PI8-1059413
25/08/1995: PI8-1526234
26/08/1995: PI8-1894712
27/08/1995: PI8-318290
28/08/1995: PI8-801494
29/08/1995: PI8-4714902
30/08/1995: PI8-919921
31/08/1995: PI8-1553389
01/09/1995: PI8-797960
02/09/1995: PI8-261881
03/09/1995: PI8-973353
04/09/1995: PI8-304481
05/09/1995: PI8-1684039
06/09/1995: PI8-615880
07/09/1995: PI8-500397
08/09/1995: PI8-2261309
09/09/1995: PI8-38324
10/09/1995: PI8-1812998
11/09/1995: PI8-208000
12/09/1995: PI8-569882
13/09/1995: PI8-198592
14/09/1995: PI8-319452
15/09/1995: PI8-2684332
16/09/1995: PI8-97907
17/09/1995: PI8-11458
18/09/1995: PI8-1138185
19/09/1995: PI8-305542
20/09/1995: PI8-1642896
21/09/1995: PI8-875265
22/09/1995: PI8-3452460
23/09/1995: PI8-3507729
24/09/1995: PI8-1004032
25/09/1995: PI8-1976894
26/09/1995: PI8-39282
27/09/1995: PI8-4415040
28/09/1995: PI8-765340
29/09/1995: PI8-4277799
30/09/1995: PI8-861742
31/09/1995: PI8-820808
01/10/1995: PI8-693871
02/10/1995: PI8-1785341
03/10/1995: PI8-1244400
04/10/1995: PI8-1081641
05/10/1995: PI8-1004219
06/10/1995: PI8-157138
07/10/1995: PI8-444512
08/10/1995: PI8-1944602
09/10/1995: PI8-1177346
10/10/1995: PI8-15325
11/10/1995: PI8-2012241
12/10/1995: PI8-92273
13/10/1995: PI8-170721
14/10/1995: PI8-82832
15/10/1995: PI8-804293
16/10/1995: PI8-1356046
17/10/1995: PI8-1777971
18/10/1995: PI8-43593
19/10/1995: PI8-1410230
20/10/1995: PI8-2611840
21/10/1995: PI8-602043
22/10/1995: PI8-1182411
23/10/1995: PI8-453860
24/10/1995: PI8-193833
25/10/1995: PI8-412522
26/10/1995: PI8-3270299
27/10/1995: PI8-7375
28/10/1995: PI8-368415
29/10/1995: PI8-167067
30/10/1995: PI8-123600
31/10/1995: PI8-140381
01/11/1995: PI8-1428549
02/11/1995: PI8-210189
03/11/1995: PI8-127649
04/11/1995: PI8-797547
05/11/1995: PI8-1536710
06/11/1995: PI8-56612
07/11/1995: PI8-1057460
08/11/1995: PI8-2309799
09/11/1995: PI8-1003384
10/11/1995: PI8-3458910
11/11/1995: PI8-2103053
12/11/1995: PI8-634802
13/11/1995: PI8-874197
14/11/1995: PI8-4011122
15/11/1995: PI8-1363942
16/11/1995: PI8-210541
17/11/1995: PI8-557203
18/11/1995: PI8-1217352
19/11/1995: PI8-542964
20/11/1995: PI8-521115
21/11/1995: PI8-2356965
22/11/1995: PI8-698914
23/11/1995: PI8-679456
24/11/1995: PI8-368081
25/11/1995: PI8-1163496
26/11/1995: PI8-672953
27/11/1995: PI8-3835219
28/11/1995: PI8-1627268
29/11/1995: PI8-1745381
30/11/1995: PI8-531014
31/11/1995: PI8-498343
01/12/1995: PI8-1241969
02/12/1995: PI8-1530497
03/12/1995: PI8-45577
04/12/1995: PI8-485939
05/12/1995: PI8-512325
06/12/1995: PI8-138388
07/12/1995: PI8-552604
08/12/1995: PI8-3417000
09/12/1995: PI8-814236
10/12/1995: PI8-336667
11/12/1995: PI8-1068662
12/12/1995: PI8-23531
13/12/1995: PI8-1621514
14/12/1995: PI8-2704110
15/12/1995: PI8-1711574
16/12/1995: PI8-68192
17/12/1995: PI8-858073
18/12/1995: PI8-2312503
19/12/1995: PI8-148126
20/12/1995: PI8-1864953
21/12/1995: PI8-1605914
22/12/1995: PI8-243912
23/12/1995: PI8-1790139
24/12/1995: PI8-1050717
25/12/1995: PI8-317478
26/12/1995: PI8-832961
27/12/1995: PI8-784211
28/12/1995: PI8-531981
29/12/1995: PI8-2691727
30/12/1995: PI8-69658
31/12/1995: PI8-1832162
01/01/1996: PI8-344604
02/01/1996: PI8-1037828
03/01/1996: PI8-873268
04/01/1996: PI8-1249583
05/01/1996: PI8-1849005
06/01/1996: PI8-2256224
07/01/1996: PI8-1095850
08/01/1996: PI8-101826
09/01/1996: PI8-358082
10/01/1996: PI8-1220089
11/01/1996: PI8-747711
12/01/1996: PI8-1162839
13/01/1996: PI8-812603
14/01/1996: PI8-2414012
15/01/1996: PI8-118428
16/01/1996: PI8-3715584
17/01/1996: PI8-104502
18/01/1996: PI8-51009
19/01/1996: PI8-450408
20/01/1996: PI8-123620
21/01/1996: PI8-2021338
22/01/1996: PI8-641097
23/01/1996: PI8-410298
24/01/1996: PI8-320182
25/01/1996: PI8-4288728
26/01/1996: PI8-1928983
27/01/1996: PI8-417770
28/01/1996: PI8-433820
29/01/1996: PI8-845443
30/01/1996: PI8-105238
31/01/1996: PI8-240501
01/02/1996: PI8-191412
02/02/1996: PI8-22246
03/02/1996: PI8-257787
04/02/1996: PI8-1292556
05/02/1996: PI8-957235
06/02/1996: PI8-22653
07/02/1996: PI8-923868
08/02/1996: PI8-1626145
09/02/1996: PI8-163573
10/02/1996: PI8-713518
11/02/1996: PI8-3649953
12/02/1996: PI8-373210
13/02/1996: PI8-1628249
14/02/1996: PI8-1527869
15/02/1996: PI8-2400568
16/02/1996: PI8-502215
17/02/1996: PI8-8927
18/02/1996: PI8-1395904
19/02/1996: PI8-4978473
20/02/1996: PI8-3467866
21/02/1996: PI8-2784026
22/02/1996: PI8-66246
23/02/1996: PI8-487762
24/02/1996: PI8-2505742
25/02/1996: PI8-2198088
26/02/1996: PI8-5872816
27/02/1996: PI8-821705
28/02/1996: PI8-220907
29/02/1996: PI8-167638
30/02/1996: PI8-2321006
31/02/1996: PI8-924273
01/03/1996: PI8-204639
02/03/1996: PI8-189283
03/03/1996: PI8-2530393
04/03/1996: PI8-944866
05/03/1996: PI8-1972012
06/03/1996: PI8-1441831
07/03/1996: PI8-912094
08/03/1996: PI8-4948048
09/03/1996: PI8-1445168
10/03/1996: PI8-750721
11/03/1996: PI8-1356712
12/03/1996: PI8-588726
13/03/1996: PI8-307314
14/03/1996: PI8-499572
15/03/1996: PI8-326749
16/03/1996: PI8-72221
17/03/1996: PI8-420801
18/03/1996: PI8-1656673
19/03/1996: PI8-823733
20/03/1996: PI8-2222146
21/03/1996: PI8-1919989
22/03/1996: PI8-324992
23/03/1996: PI8-2374652
24/03/1996: PI8-298673
25/03/1996: PI8-526114
26/03/1996: PI8-92864
27/03/1996: PI8-1458608
28/03/1996: PI8-1267979
29/03/1996: PI8-160439
30/03/1996: PI8-663179
31/03/1996: PI8-387201
01/04/1996: PI8-249052
02/04/1996: PI8-2384249
03/04/1996: PI8-454975
04/04/1996: PI8-247705
05/04/1996: PI8-2544013
06/04/1996: PI8-4767255
07/04/1996: PI8-975753
08/04/1996: PI8-495740
09/04/1996: PI8-1092306
10/04/1996: PI8-81182
11/04/1996: PI8-279388
12/04/1996: PI8-2730031
13/04/1996: PI8-2223059
14/04/1996: PI8-708618
15/04/1996: PI8-1340780
16/04/1996: PI8-490995
17/04/1996: PI8-131038
18/04/1996: PI8-704467
19/04/1996: PI8-1228129
20/04/1996: PI8-3011469
21/04/1996: PI8-543666
22/04/1996: PI8-1831378
23/04/1996: PI8-1336992
24/04/1996: PI8-369540
25/04/1996: PI8-812817
26/04/1996: PI8-241229
27/04/1996: PI8-204002
28/04/1996: PI8-99186
29/04/1996: PI8-594090
30/04/1996: PI8-400100
31/04/1996: PI8-647910
01/05/1996: PI8-414809
02/05/1996: PI8-1671071
03/05/1996: PI8-573616
04/05/1996: PI8-72070
05/05/1996: PI8-1652695
06/05/1996: PI8-22124
07/05/1996: PI8-304547
08/05/1996: PI8-170463
09/05/1996: PI8-2126952
10/05/1996: PI8-1363287
11/05/1996: PI8-745797
12/05/1996: PI8-183110
13/05/1996: PI8-2614981
14/05/1996: PI8-932745
15/05/1996: PI8-213822
16/05/1996: PI8-817169
17/05/1996: PI8-125371
18/05/1996: PI8-568175
19/05/1996: PI8-1180014
20/05/1996: PI8-2006003
21/05/1996: PI8-1225228
22/05/1996: PI8-1585252
23/05/1996: PI8-35539
24/05/1996: PI8-197358
25/05/1996: PI8-3012399
26/05/1996: PI8-3020453
27/05/1996: PI8-1509545
28/05/1996: PI8-87046
29/05/1996: PI8-607027
30/05/1996: PI8-278797
31/05/1996: PI8-863369
01/06/1996: PI8-2512018
02/06/1996: PI8-563747
03/06/1996: PI8-228535
04/06/1996: PI8-2511170
05/06/1996: PI8-670743
06/06/1996: PI8-545643
07/06/1996: PI8-2598630
08/06/1996: PI8-246669
09/06/1996: PI8-79014
10/06/1996: PI8-737835
11/06/1996: PI8-538617
12/06/1996: PI8-4210701
13/06/1996: PI8-71231
14/06/1996: PI8-2863907
15/06/1996: PI8-999930
16/06/1996: PI8-2299925
17/06/1996: PI8-1398578
18/06/1996: PI8-86300
19/06/1996: PI8-528281
20/06/1996: PI8-361541
21/06/1996: PI8-561199
22/06/1996: PI8-393917
23/06/1996: PI8-108238
24/06/1996: PI8-1242619
25/06/1996: PI8-65398
26/06/1996: PI8-70020
27/06/1996: PI8-698210
28/06/1996: PI8-6283
29/06/1996: PI8-2838566
30/06/1996: PI8-808441
31/06/1996: PI8-1973741
01/07/1996: PI8-367558
02/07/1996: PI8-3570469
03/07/1996: PI8-576318
04/07/1996: PI8-496392
05/07/1996: PI8-223576
06/07/1996: PI8-592503
07/07/1996: PI8-726924
08/07/1996: PI8-732861
09/07/1996: PI8-1007584
10/07/1996: PI8-452878
11/07/1996: PI8-2621914
12/07/1996: PI8-208941
13/07/1996: PI8-1080434
14/07/1996: PI8-101433
15/07/1996: PI8-407745
16/07/1996: PI8-202107
17/07/1996: PI8-733998
18/07/1996: PI8-959594
19/07/1996: PI8-1454655
20/07/1996: PI8-795254
21/07/1996: PI8-234309
22/07/1996: PI8-529027
23/07/1996: PI8-2668427
24/07/1996: PI8-2124150
25/07/1996: PI8-1429447
26/07/1996: PI8-1783306
27/07/1996: PI8-811397
28/07/1996: PI8-928948
29/07/1996: PI8-3672003
30/07/1996: PI8-2213772
31/07/1996: PI8-627469
01/08/1996: PI8-317789
02/08/1996: PI8-152067
03/08/1996: PI8-117370
04/08/1996: PI8-2519979
05/08/1996: PI8-434088
06/08/1996: PI8-193781
07/08/1996: PI8-816895
08/08/1996: PI8-417713
09/08/1996: PI8-841779
10/08/1996: PI8-476541
11/08/1996: PI8-639018
12/08/1996: PI8-2671221
13/08/1996: PI8-273485
14/08/1996: PI8-320152
15/08/1996: PI8-93327
16/08/1996: PI8-1454236
17/08/1996: PI8-941785
18/08/1996: PI8-875564
19/08/1996: PI8-427617
20/08/1996: PI8-1390991
21/08/1996: PI8-427474
22/08/1996: PI8-248466
23/08/1996: PI8-24015
24/08/1996: PI8-2736904
25/08/1996: PI8-405616
26/08/1996: PI8-433650
27/08/1996: PI8-2632039
28/08/1996: PI8-419601
29/08/1996: PI8-154725
30/08/1996: PI8-869243
31/08/1996: PI8-159334
01/09/1996: PI8-103751
02/09/1996: PI8-459928
03/09/1996: PI8-279465
04/09/1996: PI8-2162065
05/09/1996: PI8-643455
06/09/1996: PI8-313982
07/09/1996: PI8-118028
08/09/1996: PI8-492972
09/09/1996: PI8-22418
10/09/1996: PI8-498364
11/09/1996: PI8-769080
12/09/1996: PI8-150507
13/09/1996: PI8-745
14/09/1996: PI8-752429
15/09/1996: PI8-393403
16/09/1996: PI8-1203522
17/09/1996: PI8-824259
18/09/1996: PI8-962659
19/09/1996: PI8-432672
20/09/1996: PI8-841860
21/09/1996: PI8-485907
22/09/1996: PI8-346177
23/09/1996: PI8-248484
24/09/1996: PI8-406314
25/09/1996: PI8-1643752
26/09/1996: PI8-1018200
27/09/1996: PI8-754189
28/09/1996: PI8-3188830
29/09/1996: PI8-256081
30/09/1996: PI8-541084
31/09/1996: PI8-470390
01/10/1996: PI8-375385
02/10/1996: PI8-723702
03/10/1996: PI8-22495
04/10/1996: PI8-330770
05/10/1996: PI8-1279687
06/10/1996: PI8-74595
07/10/1996: PI8-1736054
08/10/1996: PI8-1253628
09/10/1996: PI8-1105394
10/10/1996: PI8-2308089
11/10/1996: PI8-180501
12/10/1996: PI8-1235425
13/10/1996: PI8-1363592
14/10/1996: PI8-1497285
15/10/1996: PI8-65386
16/10/1996: PI8-37710
17/10/1996: PI8-4887587
18/10/1996: PI8-120593
19/10/1996: PI8-225122
20/10/1996: PI8-408077
21/10/1996: PI8-1208447
22/10/1996: PI8-2991135
23/10/1996: PI8-1751343
24/10/1996: PI8-1976315
25/10/1996: PI8-193310
26/10/1996: PI8-2344299
27/10/1996: PI8-1472931
28/10/1996: PI8-2502277
29/10/1996: PI8-108649
30/10/1996: PI8-52596
31/10/1996: PI8-813758
01/11/1996: PI8-289859
02/11/1996: PI8-612837
03/11/1996: PI8-675849
04/11/1996: PI8-2090414
05/11/1996: PI8-95051
06/11/1996: PI8-10536
07/11/1996: PI8-2968008
08/11/1996: PI8-1142688
09/11/1996: PI8-649114
10/11/1996: PI8-687826
11/11/1996: PI8-991675
12/11/1996: PI8-278479
13/11/1996: PI8-648962
14/11/1996: PI8-878289
15/11/1996: PI8-121386
16/11/1996: PI8-954679
17/11/1996: PI8-4803
18/11/1996: PI8-353143
19/11/1996: PI8-3000453
20/11/1996: PI8-209053
21/11/1996: PI8-85851
22/11/1996: PI8-208907
23/11/1996: PI8-752145
24/11/1996: PI8-291146
25/11/1996: PI8-1325864
26/11/1996: PI8-83164
27/11/1996: PI8-950729
28/11/1996: PI8-555788
29/11/1996: PI8-823540
30/11/1996: PI8-674138
31/11/1996: PI8-1717427
01/12/1996: PI8-783255
02/12/1996: PI8-346024
03/12/1996: PI8-1049928
04/12/1996: PI8-2027772
05/12/1996: PI8-1561365
06/12/1996: PI8-1087875
07/12/1996: PI8-264375
08/12/1996: PI8-1638127
09/12/1996: PI8-199045
10/12/1996: PI8-871653
11/12/1996: PI8-778212
12/12/1996: PI8-320434
13/12/1996: PI8-2039460
14/12/1996: PI8-1248686
15/12/1996: PI8-4402556
16/12/1996: PI8-456107
17/12/1996: PI8-1392492
18/12/1996: PI8-1811090
19/12/1996: PI8-529533
20/12/1996: PI8-573422
21/12/1996: PI8-137043
22/12/1996: PI8-180661
23/12/1996: PI8-1672423
24/12/1996: PI8-1796162
25/12/1996: PI8-874217
26/12/1996: PI8-592213
27/12/1996: PI8-1443921
28/12/1996: PI8-2873546
29/12/1996: PI8-1194338
30/12/1996: PI8-1310135
31/12/1996: PI8-189412
01/01/1997: PI8-377648
02/01/1997: PI8-472911
03/01/1997: PI8-3849128
04/01/1997: PI8-4705215
05/01/1997: PI8-371311
06/01/1997: PI8-3293566
07/01/1997: PI8-900449
08/01/1997: PI8-1439982
09/01/1997: PI8-510471
10/01/1997: PI8-677268
11/01/1997: PI8-2086378
12/01/1997: PI8-563177
13/01/1997: PI8-323665
14/01/1997: PI8-677753
15/01/1997: PI8-3523
16/01/1997: PI8-815670
17/01/1997: PI8-504561
18/01/1997: PI8-1102657
19/01/1997: PI8-1271497
20/01/1997: PI8-241157
21/01/1997: PI8-112052
22/01/1997: PI8-1518954
23/01/1997: PI8-1827268
24/01/1997: PI8-2458282
25/01/1997: PI8-1930358
26/01/1997: PI8-3945346
27/01/1997: PI8-848762
28/01/1997: PI8-307533
29/01/1997: PI8-511939
30/01/1997: PI8-697048
31/01/1997: PI8-1896346
01/02/1997: PI8-331186
02/02/1997: PI8-911742
03/02/1997: PI8-285163
04/02/1997: PI8-272214
05/02/1997: PI8-558907
06/02/1997: PI8-548795
07/02/1997: PI8-1144148
08/02/1997: PI8-1212665
09/02/1997: PI8-33777
10/02/1997: PI8-271276
11/02/1997: PI8-3002837
12/02/1997: PI8-809682
13/02/1997: PI8-1684504
14/02/1997: PI8-655453
15/02/1997: PI8-291269
16/02/1997: PI8-1381005
17/02/1997: PI8-1490865
18/02/1997: PI8-1743909
19/02/1997: PI8-1061943
20/02/1997: PI8-4399854
21/02/1997: PI8-656661
22/02/1997: PI8-700374
23/02/1997: PI8-663532
24/02/1997: PI8-1695126
25/02/1997: PI8-638419
26/02/1997: PI8-2227485
27/02/1997: PI8-667239
28/02/1997: PI8-754228
29/02/1997: PI8-101593
30/02/1997: PI8-3324299
31/02/1997: PI8-208468
01/03/1997: PI8-521557
02/03/1997: PI8-212496
03/03/1997: PI8-159755
04/03/1997: PI8-137846
05/03/1997: PI8-53244
06/03/1997: PI8-296581
07/03/1997: PI8-482241
08/03/1997: PI8-1449686
09/03/1997: PI8-1067138
10/03/1997: PI8-1076327
11/03/1997: PI8-2730445
12/03/1997: PI8-230257
13/03/1997: PI8-658563
14/03/1997: PI8-2286777
15/03/1997: PI8-149385
16/03/1997: PI8-1622605
17/03/1997: PI8-477328
18/03/1997: PI8-1103452
19/03/1997: PI8-275811
20/03/1997: PI8-665931
21/03/1997: PI8-388858
22/03/1997: PI8-319269
23/03/1997: PI8-1444828
24/03/1997: PI8-1603289
25/03/1997: PI8-838100
26/03/1997: PI8-26013
27/03/1997: PI8-1857005
28/03/1997: PI8-2155393
29/03/1997: PI8-1190136
30/03/1997: PI8-1007892
31/03/1997: PI8-408729
01/04/1997: PI8-1621621
02/04/1997: PI8-1960678
03/04/1997: PI8-126213
04/04/1997: PI8-367330
05/04/1997: PI8-1956698
06/04/1997: PI8-193839
07/04/1997: PI8-534723
08/04/1997: PI8-1595895
09/04/1997: PI8-2274124
10/04/1997: PI8-81664
11/04/1997: PI8-23842
12/04/1997: PI8-1403154
13/04/1997: PI8-667693
14/04/1997: PI8-640704
15/04/1997: PI8-1110006
16/04/1997: PI8-3614724
17/04/1997: PI8-1051870
18/04/1997: PI8-2043067
19/04/1997: PI8-2443224
20/04/1997: PI8-1631787
21/04/1997: PI8-76371
22/04/1997: PI8-343296
23/04/1997: PI8-166236
24/04/1997: PI8-124083
25/04/1997: PI8-1626812
26/04/1997: PI8-1710183
27/04/1997: PI8-493931
28/04/1997: PI8-239022
29/04/1997: PI8-361767
30/04/1997: PI8-494904
31/04/1997: PI8-168554
01/05/1997: PI8-85100
02/05/1997: PI8-793671
03/05/1997: PI8-3206428
04/05/1997: PI8-265418
05/05/1997: PI8-857682
06/05/1997: PI8-741953
07/05/1997: PI8-2056206
08/05/1997: PI8-1146966
09/05/1997: PI8-1252549
10/05/1997: PI8-928432
11/05/1997: PI8-498006
12/05/1997: PI8-1587595
13/05/1997: PI8-3223329
14/05/1997: PI8-677704
15/05/1997: PI8-144192
16/05/1997: PI8-294431
17/05/1997: PI8-2768402
18/05/1997: PI8-138221
19/05/1997: PI8-1454629
20/05/1997: PI8-1150370
21/05/1997: PI8-2702760
22/05/1997: PI8-3515042
23/05/1997: PI8-461171
24/05/1997: PI8-1638509
25/05/1997: PI8-708196
26/05/1997: PI8-1151535
27/05/1997: PI8-3167937
